epoch,batch,iter,loss,prec1,prec5,lr
4,9,324,0.300245285,87.5,100,0.04
4,10,325,0.00453407,100,100,0.04
4,11,326,0.304787785,93.75,100,0.04
4,12,327,0.005594695,100,100,0.04
4,13,328,0.16426912,96.875,100,0.04
4,14,329,0.00332476,100,100,0.04
4,15,330,0.007136736,100,100,0.04
4,16,331,0.010447704,100,100,0.04
4,17,332,0.246747971,96.875,100,0.04
4,18,333,0.00489381,100,100,0.04
4,19,334,0.008360038,100,100,0.04
4,20,335,0.040139847,96.875,100,0.04
4,21,336,0.071244538,96.875,100,0.04
4,22,337,0.145494044,96.875,100,0.04
4,23,338,0.02037197,100,100,0.04
4,24,339,0.161015406,96.875,100,0.04
4,25,340,0.03125374,100,100,0.04
4,26,341,0.029761292,100,100,0.04
4,27,342,0.008657968,100,100,0.04
4,28,343,0.021836173,100,100,0.04
4,29,344,0.105737172,96.875,100,0.04
4,30,345,0.022214139,100,100,0.04
4,31,346,0.008758286,100,100,0.04
4,32,347,0.451093256,87.5,100,0.04
4,33,348,0.00789633,100,100,0.04
4,34,349,0.008002016,100,100,0.04
4,35,350,0.01077438,90.625,100,0.04
4,36,351,0.013618072,100,100,0.04
4,37,352,0.014954791,100,100,0.04
4,38,353,0.295003027,93.75,100,0.04
4,39,354,0.015889537,100,100,0.04
4,40,355,0.011130471,100,100,0.04
4,41,356,0.012818789,90.625,100,0.04
4,42,357,0.033049926,100,100,0.04
4,43,358,0.093204178,93.75,100,0.04
4,44,359,0.028940933,100,100,0.04
4,45,360,0.019522192,100,100,0.04
4,46,361,0.007486955,90.625,100,0.04
4,47,362,0.01312836,100,100,0.04
4,48,363,0.00991502,100,100,0.04
4,49,364,0.009068883,100,100,0.04
4,50,365,0.00945734,100,100,0.04
4,51,366,0.065150477,96.875,100,0.04
4,52,367,0.005528161,90.625,100,0.04
4,53,368,0.012972565,100,100,0.04
4,54,369,0.008149813,90.625,100,0.04
4,55,370,0.004365507,100,100,0.04
4,56,371,0.007472582,100,100,0.04
4,57,372,0.004493717,90.625,100,0.04
4,58,373,0.724821568,75,100,0.04
4,59,374,0.317849368,87.5,100,0.04
4,60,375,0.005175985,100,100,0.04
4,61,376,0.029208779,100,100,0.04
4,62,377,0.171499193,90.625,100,0.04
4,63,378,0.21134226,93.75,100,0.04
4,64,379,0.214775816,81.25,100,0.04
4,65,380,0.153761715,90.625,100,0.04
4,66,381,0.148922741,90.625,100,0.04
4,67,382,0.074320495,93.75,100,0.04
4,68,383,0.250745624,87.5,100,0.04
4,69,384,0.807746649,71.875,100,0.04
4,70,385,0.126121894,93.75,100,0.04
4,71,386,0.418591052,81.25,100,0.04
4,72,387,0.18545185,96.875,100,0.04
4,73,388,0.097749189,100,100,0.04
4,74,389,0.189335302,96.875,100,0.04
4,75,390,0.050743781,100,100,0.04
4,76,391,0.075277999,96.875,100,0.04
4,77,392,0.026158383,100,100,0.04
4,78,393,0.503078043,87.5,100,0.04
4,79,394,0.029891446,100,100,0.04
4,80,395,0.034133267,100,100,0.04
4,81,396,0.027947478,90.625,100,0.04
4,82,397,0.043630097,100,100,0.04
4,83,398,0.138939485,90.625,100,0.04
4,84,399,0.047987983,100,100,0.04
4,85,400,0.057416439,100,100,0.04
4,86,401,0.019439735,100,100,0.04
4,87,402,0.15847443,96.875,100,0.04
4,88,403,0.085374959,100,100,0.04
4,89,404,0.164002478,93.75,100,0.04
4,90,405,0.038724478,100,100,0.04
4,91,406,0.198741615,93.75,100,0.04
4,92,407,0.498103678,81.25,100,0.04
4,93,408,0.02129552,100,100,0.04
4,94,409,0.430996835,87.5,100,0.04
4,95,410,0.022270614,100,100,0.04
4,96,411,0.039036732,100,100,0.04
4,97,412,0.313897908,87.5,100,0.04
4,98,413,0.142782852,96.875,100,0.04
4,99,414,0.035212096,100,100,0.04
4,100,415,0.048825938,100,100,0.04
4,101,416,0.131512538,93.75,100,0.04
4,102,417,0.062497672,100,100,0.04
4,103,418,0.027511466,100,100,0.04
4,104,419,0.133550212,96.875,100,0.04
4,105,420,0.016863994,100,100,0.04
5,1,421,0.038751949,100,100,0.04
5,2,422,0.044339389,90.625,100,0.04
5,3,423,0.0193385,100,100,0.04
5,4,424,0.02697335,100,100,0.04
5,5,425,0.135762841,96.875,100,0.04
5,6,426,0.124305137,96.875,100,0.04
5,7,427,0.74152267,87.5,100,0.04
5,8,428,0.025106631,90.625,100,0.04
5,9,429,0.013133515,100,100,0.04
5,10,430,0.015754601,90.625,100,0.04
5,11,431,0.008787422,100,100,0.04
5,12,432,0.020832296,100,100,0.04
5,13,433,0.091356404,96.875,100,0.04
5,14,434,0.01993073,100,100,0.04
5,15,435,0.020753412,90.625,100,0.04
5,16,436,0.915010095,81.25,100,0.04
5,17,437,0.680419445,84.375,100,0.04
5,18,438,0.172014177,96.875,100,0.04
5,19,439,0.145731181,96.875,100,0.04
5,20,440,0.018074332,100,100,0.04
5,21,441,0.05907622,100,100,0.04
5,22,442,0.085719191,100,100,0.04
5,23,443,0.114146926,93.75,100,0.04
5,24,444,0.091382176,90.625,100,0.04
5,25,445,0.032239873,90.625,100,0.04
5,26,446,0.031690221,100,100,0.04
5,27,447,0.188875675,90.625,100,0.04
5,28,448,0.018600607,100,100,0.04
5,29,449,0.328090429,87.5,100,0.04
5,30,450,0.011990597,100,100,0.04
5,31,451,0.01732862,100,100,0.04
5,32,452,0.219712317,93.75,100,0.04
5,33,453,0.151887923,96.875,100,0.04
5,34,454,0.051988915,100,100,0.04
5,35,455,0.038059868,100,100,0.04
5,36,456,0.021371789,100,100,0.04
5,37,457,0.420583665,87.5,100,0.04
5,38,458,0.159259304,96.875,100,0.04
5,39,459,0.043268032,100,100,0.04
5,40,460,0.140814796,96.875,100,0.04
5,41,461,0.068766519,96.875,100,0.04
5,42,462,0.018950783,100,100,0.04
5,43,463,0.034252509,96.875,100,0.04
5,44,464,0.089864314,96.875,100,0.04
5,45,465,0.014770409,100,100,0.04
5,46,466,0.246700123,84.375,100,0.04
5,47,467,0.066176564,100,100,0.04
5,48,468,0.048547409,100,100,0.04
5,49,469,0.018843962,90.625,100,0.04
5,50,470,0.022122269,100,100,0.04
5,51,471,0.012207533,90.625,100,0.04
5,52,472,0.019686924,100,100,0.04
5,53,473,0.018633546,100,100,0.04
5,54,474,0.013598513,100,100,0.04
5,55,475,0.017844483,100,100,0.04
5,56,476,0.093402132,93.75,100,0.04
5,57,477,0.171143487,96.875,100,0.04
5,58,478,0.013756595,100,100,0.04
5,59,479,0.013726654,100,100,0.04
5,60,480,0.017461063,100,100,0.04
5,61,481,0.010268746,100,100,0.04
5,62,482,0.017080626,100,100,0.04
5,63,483,0.006196875,100,100,0.04
5,64,484,0.010172358,100,100,0.04
5,65,485,0.016011313,100,100,0.04
5,66,486,0.010783836,100,100,0.04
5,67,487,0.156036988,96.875,100,0.04
5,68,488,0.008595601,100,100,0.04
5,69,489,0.008774191,100,100,0.04
